Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.00,-116.6847222,32.72722222,34,-0.11536,-0.14832,295.76
4.00,-116.6847222,32.72722222,34,0.36255,-0.26917,295.25
8.00,-116.685,32.72722222,35,0.42297,-0.2417,297.27
11.00,-116.685,32.72722222,35,2.75E-02,0.73608,295.88
15.00,-116.685,32.72722222,35,0.18127,0.33508,294.53
19.00,-116.6852778,32.72722222,36,0.39001,0.36804,308.05
23.00,-116.6852778,32.7275,36,0.2417,2.75E-02,334.3
27.00,-116.6852778,32.7275,36,0.14832,0.36804,3.6365
31.00,-116.6852778,32.7275,36,-0.4834,0.30762,18.82
35.00,-116.685,32.72777778,36,-0.42297,0.18127,25.933
39.00,-116.685,32.72777778,36,-0.39551,0.12085,25.67
43.00,-116.685,32.72777778,35,-0.32959,0.12085,25.906
47.00,-116.685,32.72777778,35,-0.36255,0.12085,25.873
51.00,-116.685,32.72777778,35,-0.32959,0.15381,25.845
55.00,-116.685,32.72777778,35,-0.32959,0.12085,25.889
59.00,-116.685,32.72777778,35,-0.36255,0.15381,25.856
64.00,-116.685,32.72777778,34,-0.36804,0.1593,25.867
68.00,-116.685,32.72777778,34,-0.36255,0.12085,25.873
72.00,-116.685,32.72777778,34,-0.36255,0.15381,25.862
76.00,-116.685,32.72777778,34,-0.36255,0.14832,25.845
80.00,-116.685,32.72777778,35,-0.36255,0.12085,25.889
84.00,-116.685,32.72777778,35,-0.35706,0.12085,25.862
87.00,-116.685,32.72777778,35,-0.36255,0.15381,25.862
91.00,-116.685,32.72777778,35,-0.32959,0.14832,25.845
95.00,-116.685,32.72777778,35,-0.36804,0.1593,25.851
99.00,-116.685,32.72777778,35,-0.36255,0.15381,25.818
103.00,-116.685,32.72777778,35,-0.36804,9.34E-02,25.856
107.00,-116.685,32.72777778,35,-0.33508,-0.34058,25.9
111.00,-116.685,32.72777778,34,-0.34058,-0.46692,25.9
115.00,-116.685,32.72777778,35,-0.30212,-0.46143,25.917
119.00,-116.685,32.72777778,35,-0.33508,-0.30762,25.906
123.00,-116.685,32.72777778,34,-0.33508,-0.28015,25.9
127.00,-116.685,32.72777778,34,-0.33508,-0.28015,25.917
131.00,-116.685,32.72777778,34,-0.33508,-0.43396,25.917
135.00,-116.685,32.72777778,34,-0.30212,-0.30762,25.944
139.00,-116.685,32.72805556,35,-8.79E-02,-0.21423,26.197
144.00,-116.6844444,32.72861111,35,-0.2417,-8.79E-02,26.29
148.00,-116.6838889,32.72972222,35,0.21423,-0.12085,25.598
152.00,-116.6830556,32.73138889,35,0.21423,-2.75E-02,25.17
